tahun,kota_kota,kelurahan,jenis_kelamin,jumlah
2017,Jakarta Selatan,Pesanggrahan,Perempuan,4603
2017,Jakarta Selatan,Bintaro,Perempuan,8374
2017,Jakarta Selatan,Petukangan Utara,Perempuan,8993
2017,Jakarta Selatan,Petukangan Selatan,Perempuan,5948
2017,Jakarta Selatan,Ulujami,Perempuan,6824
2017,Jakarta Timur,Pisangan Baru,Perempuan,5095
2017,Jakarta Timur,Utan Kayu Utara,Perempuan,4445
2017,Jakarta Timur,Kayu Manis,Perempuan,4172
2017,Jakarta Timur,Pal Meriam,Perempuan,3126
2017,Jakarta Timur,Kebon Manggis,Perempuan,2435
2017,Jakarta Timur,Utan Kayu Selatan,Perempuan,5230
2017,Jakarta Timur,Pulo Gadung,Perempuan,5259
2017,Jakarta Timur,Pisangan Timur,Perempuan,6760
2017,Jakarta Timur,Cipinang,Perempuan,6152
2017,Jakarta Timur,Jatinegara Kaum,Perempuan,3979
2017,Jakarta Timur,Rawamangun,Perempuan,5891
2017,Jakarta Timur,Kayu Putih,Perempuan,6009
2017,Jakarta Timur,Jati,Perempuan,4915
2017,Jakarta Timur,Kampung Melayu,Perempuan,4555
2017,Jakarta Timur,Bidara Cina,Perempuan,5684
2017,Jakarta Timur,Bali Mester,Perempuan,1361
2017,Jakarta Timur,Rawa Bunga,Perempuan,3452
2017,Jakarta Timur,Cipinang Cempedak,Perempuan,4742
2017,Jakarta Timur,Cipinang Muara,Perempuan,8640
2017,Jakarta Timur,Cipinang Besar Selatan,Perempuan,5795
2017,Jakarta Timur,Cipinang Besar Utara,Perempuan,8189
2017,Jakarta Timur,Kramat Jati,Perempuan,5404
2017,Jakarta Timur,Kampung Tengah,Perempuan,7514
2017,Jakarta Timur,Dukuh,Perempuan,4171
2017,Jakarta Timur,Batu Ampar,Perempuan,7816
2017,Jakarta Timur,Bale Kambang,Perempuan,4596
2017,Jakarta Timur,Cililitan,Perempuan,6311
2017,Jakarta Timur,Cawang,Perempuan,5299
2017,Jakarta Timur,Gedong,Perempuan,5744
2017,Jakarta Timur,Baru,Perempuan,3991
2017,Jakarta Timur,Cijantung,Perempuan,6685
2017,Jakarta Timur,Kalisari,Perempuan,6953
2017,Jakarta Timur,Pekayon,Perempuan,7291
2017,Jakarta Timur,Jatinegara,Perempuan,14081
2017,Jakarta Timur,Rawa Terate,Perempuan,4362
2017,Jakarta Timur,Penggilingan,Perempuan,16471
2017,Jakarta Timur,Cakung Timur,Perempuan,9722
2017,Jakarta Timur,Pulo Gebang,Perempuan,15204
2017,Jakarta Timur,Ujung Menteng,Perempuan,4915
2017,Jakarta Timur,Cakung Barat,Perempuan,10229
2017,Jakarta Timur,Duren Sawit,Perempuan,9363
2017,Jakarta Timur,Pondok Bambu,Perempuan,9358
2017,Jakarta Timur,Klender,Perempuan,11677
2017,Jakarta Timur,Pondok Kelapa,Perempuan,10975
2017,Jakarta Timur,Malaka Sari,Perempuan,4272
2017,Jakarta Timur,Malaka Jaya,Perempuan,5000
2017,Jakarta Timur,Pondok Kopi,Perempuan,5593
2017,Jakarta Timur,Makasar,Perempuan,5471
2017,Jakarta Timur,Pinang Ranti,Perempuan,4510
2017,Jakarta Timur,Kebon Pala,Perempuan,7455
2017,Jakarta Timur,Halim Perdana Kusumah,Perempuan,5059
2017,Jakarta Timur,Cipinang Melayu,Perempuan,6804
2017,Jakarta Timur,Ciracas,Perempuan,10467
2017,Jakarta Timur,Cibubur,Perempuan,10760
2017,Jakarta Timur,Kelapa Dua Wetan,Perempuan,7099
2017,Jakarta Timur,Susukan,Perempuan,6044
2017,Jakarta Timur,Rambutan,Perempuan,6151
2017,Jakarta Timur,Cipayung,Perempuan,4006
2017,Jakarta Timur,Cilangkap,Perempuan,4546
2017,Jakarta Timur,Pondok Ranggon,Perempuan,4188
2017,Jakarta Timur,Munjul,Perempuan,3861
2017,Jakarta Timur,Setu,Perempuan,3293
2017,Jakarta Timur,Bambu Apus,Perempuan,4177
2017,Jakarta Timur,Lubang Buaya,Perempuan,10727
2017,Jakarta Timur,Ceger,Perempuan,2984
