kode_rekening,pos_anggaran,sumber_pos_anggaran,tahun,wilayah_kerja,nominal
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2016-12-31,Jakarta Barat,0
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2016-12-31,Jakarta Selatan,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2016-12-31,Jakarta Selatan,0
9.1.01,Beban Operasi,Beban Pegawai,2016-12-31,Jakarta Selatan,22559109254
9.1.02,Beban Operasi,Beban Persediaan,2016-12-31,Jakarta Selatan,1550747949
9.1.03,Beban Operasi,Beban Barang,2016-12-31,Jakarta Selatan,112851000
9.1.04,Beban Operasi,Beban Jasa,2016-12-31,Jakarta Selatan,75632384
9.1.05,Beban Operasi,Beban Pemeliharaan,2016-12-31,Jakarta Selatan,288991233
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2016-12-31,Jakarta Selatan,0
9.1.07,Beban Operasi,Beban Bunga,2016-12-31,Jakarta Selatan,0
9.1.08,Beban Operasi,Beban Subsidi,2016-12-31,Jakarta Selatan,0
9.1.13,Beban Operasi,Beban Hibah,2016-12-31,Jakarta Selatan,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2016-12-31,Jakarta Selatan,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2016-12-31,Jakarta Selatan,3027221064
9.1.11,Beban Operasi,Beban Penyisihan Piutang,2016-12-31,Jakarta Selatan,0
9.1.12,Beban Operasi,Beban Lain-lain,2016-12-31,Jakarta Selatan,0
9.2,Beban Transfer,Beban Transfer,2016-12-31,Jakarta Selatan,0
9.3,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2016-12-31,Jakarta Selatan,0
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2016-12-31,Jakarta Selatan,0
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2016-12-31,Jakarta Timur,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2016-12-31,Jakarta Timur,0
9.1.01,Beban Operasi,Beban Pegawai,2016-12-31,Jakarta Timur,25085733194
9.1.02,Beban Operasi,Beban Persediaan,2016-12-31,Jakarta Timur,2325352760
9.1.03,Beban Operasi,Beban Barang,2016-12-31,Jakarta Timur,872761000
9.1.04,Beban Operasi,Beban Jasa,2016-12-31,Jakarta Timur,303040000
9.1.05,Beban Operasi,Beban Pemeliharaan,2016-12-31,Jakarta Timur,749443177
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2016-12-31,Jakarta Timur,0
9.1.07,Beban Operasi,Beban Bunga,2016-12-31,Jakarta Timur,0
9.1.08,Beban Operasi,Beban Subsidi,2016-12-31,Jakarta Timur,0
9.1.13,Beban Operasi,Beban Hibah,2016-12-31,Jakarta Timur,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2016-12-31,Jakarta Timur,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2016-12-31,Jakarta Timur,3566181359
9.1.11,Beban Operasi,Beban Penyisihan Piutang,2016-12-31,Jakarta Timur,0
9.1.12,Beban Operasi,Beban Lain-lain,2016-12-31,Jakarta Timur,0
9.2,Beban Transfer,Beban Transfer,2016-12-31,Jakarta Timur,0
9.3,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2016-12-31,Jakarta Timur,0
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2016-12-31,Jakarta Timur,0
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2016-12-31,Kep. Seribu,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2016-12-31,Kep. Seribu,0
9.1.01,Beban Operasi,Beban Pegawai,2016-12-31,Kep. Seribu,1233724490
9.1.02,Beban Operasi,Beban Persediaan,2016-12-31,Kep. Seribu,1507992946
9.1.03,Beban Operasi,Beban Barang,2016-12-31,Kep. Seribu,49892500
9.1.04,Beban Operasi,Beban Jasa,2016-12-31,Kep. Seribu,212362870
9.1.05,Beban Operasi,Beban Pemeliharaan,2016-12-31,Kep. Seribu,425130000
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2016-12-31,Kep. Seribu,0
9.1.07,Beban Operasi,Beban Bunga,2016-12-31,Kep. Seribu,0
9.1.08,Beban Operasi,Beban Subsidi,2016-12-31,Kep. Seribu,0
9.1.13,Beban Operasi,Beban Hibah,2016-12-31,Kep. Seribu,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2016-12-31,Kep. Seribu,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2016-12-31,Kep. Seribu,1586851097
9.1.11,Beban Operasi,Beban Penyisihan Piutang,2016-12-31,Kep. Seribu,0
9.1.12,Beban Operasi,Beban Lain-lain,2016-12-31,Kep. Seribu,0
9.2,Beban Transfer,Beban Transfer,2016-12-31,Kep. Seribu,0
9.3,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2016-12-31,Kep. Seribu,0
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2016-12-31,Kep. Seribu,0
