bulan,stasiun_pengisian_bahanbakar,jenis_bahanbakar,jumlah_penjualan,penerimaan_pajak
4,Pertamina,Pertamax,42605000,13984778587
4,Pertamina,Pertamax Plus,3861000,1418426118
4,Pertamina,Pertamina Dex,1911000,694451351
4,Pertamina,Dexlite,224000,65739130
4,Pertamina,Pertamax Racing,0,0
4,Pertamina,BBG,74053,466756155
4,Pertamina,Pertamax Turbo,0,0
4,Total,Performance 92,1120000,371835188
4,Total,Performance 95,210287,96278288
4,Total,Diesel,104000,37467299
4,Shell,Diesel,2149958,763671591
4,Shell,Super,19029690,6312349563
4,Shell,Vpower,8509133,3171315466
5,Pertamina,Bio Solar,52039173,11652249204
5,Pertamina,Solar,15056394,4124428700
5,Pertamina,Premium,125000663,35743459719
5,Pertamina,Pertalite,22600000,6866051918
5,Pertamina,Pertamax,45172000,14608406723
5,Pertamina,Pertamax Plus,3911000,1418482221
5,Pertamina,Pertamina Dex,2216000,794788998
5,Pertamina,Dexlite,372000,108234792
5,Pertamina,Pertamax Racing,0,0
5,Pertamina,BBG,74049,500992058
5,Pertamina,Pertamax Turbo,0,0
5,Total,Performance 92,1120000,367818620
5,Total,Performance 95,256000,86850832
5,Total,Diesel,96000,34382420
5,Shell,Diesel,2241020,790033176
5,Shell,Super,19322920,6357588623
5,Shell,Vpower,8292716,3085503307
6,Pertamina,Bio Solar,51419741,11513904082
6,Pertamina,Solar,20950591,6275823000
6,Pertamina,Premium,116686335,33412163939
6,Pertamina,Pertalite,23360000,7008000000
6,Pertamina,Pertamax,46600150,14890840327
6,Pertamina,Pertamax Plus,4255000,1526249938
6,Pertamina,Pertamina Dex,2378760,850194533
6,Pertamina,Dexlite,444000,128373932
6,Pertamina,Pertamax Racing,0,0
6,Pertamina,BBG,38684,511272825
6,Pertamina,Pertamax Turbo,0,0
6,Total,Performance 92,1216000,397126844
6,Total,Performance 95,232000,98678144
6,Total,Diesel,112000,40139776
6,Shell,Diesel,2164426,773502859
6,Shell,Super,18351073,6165569142
6,Shell,Vpower,7494261,2858089406
7,Pertamina,Bio Solar,40268874,9017047952
7,Pertamina,Solar,15847221,4527946583
7,Pertamina,Premium,102462163,29251060722
7,Pertamina,Pertalite,22992000,6897600000
7,Pertamina,Pertamax,44156750,14110606896
7,Pertamina,Pertamax Plus,3532000,1266912995
7,Pertamina,Pertamina Dex,1943000,693453831
7,Pertamina,Dexlite,316000,91365233
7,Pertamina,Pertamax Racing,16000,26434782
7,Pertamina,BBG,83176,489256642
7,Pertamina,Pertamax Turbo,0,0
7,Total,Performance 92,1072000,350877004
7,Total,Performance 95,264000,84037328
7,Total,Diesel,80000,29043880
7,Shell,Diesel,1813478,647626198
7,Shell,Super,16287451,5467872338
7,Shell,Vpower,6640260,2530581647
8,Pertamina,Bio Solar,50587759,11328316315
8,Pertamina,Solar,17540481,5005188385
8,Pertamina,Premium,108294500,30892258308
8,Pertamina,Pertalite,33509222,10052766600
8,Pertamina,Pertamax,52850550,16888563417
8,Pertamina,Pertamax Plus,2413000,865532573
8,Pertamina,Pertamina Dex,2468000,873780207
8,Pertamina,Dexlite,1094000,306795657
8,Pertamina,Pertamax Racing,16000,25739130
8,Pertamina,BBG,50246,429014716
