"kode","propinsi","tahun","kelamin","jumlah"
"16","Sumatera Selatan","2035","P","4746.6"
"17","Bengkulu","2010","L","878.9"
"17","Bengkulu","2010","P","843.2"
"17","Bengkulu","2015","L","956.2"
"17","Bengkulu","2015","P","918.7"
"17","Bengkulu","2020","L","1028.8"
"17","Bengkulu","2020","P","991"
"17","Bengkulu","2025","L","1093.6"
"17","Bengkulu","2025","P","1056.9"
"17","Bengkulu","2030","L","1149.1"
"17","Bengkulu","2030","P","1115.2"
"17","Bengkulu","2035","L","1195.4"
"17","Bengkulu","2035","P","1165.2"
"18","Lampung","2010","L","3922.8"
"18","Lampung","2010","P","3711.2"
"18","Lampung","2015","L","4162.5"
"18","Lampung","2015","P","3954.8"
"18","Lampung","2020","L","4359.9"
"18","Lampung","2020","P","4161.3"
"18","Lampung","2025","L","4504.3"
"18","Lampung","2025","P","4320.3"
"18","Lampung","2030","L","4595.8"
"18","Lampung","2030","P","4430.4"
"18","Lampung","2035","L","4640"
"18","Lampung","2035","P","4496.1"
"19","Bangka Belitung","2010","L","637.5"
"19","Bangka Belitung","2010","P","592.7"
"19","Bangka Belitung","2015","L","713.2"
"19","Bangka Belitung","2015","P","659.6"
"19","Bangka Belitung","2020","L","789.7"
"19","Bangka Belitung","2020","P","727.9"
"19","Bangka Belitung","2025","L","863.3"
"19","Bangka Belitung","2025","P","794.2"
"19","Bangka Belitung","2030","L","932.1"
"19","Bangka Belitung","2030","P","856.8"
"19","Bangka Belitung","2035","L","995.8"
"19","Bangka Belitung","2035","P","915.2"
"21","Kepulauan Riau","2010","L","867.7"
"21","Kepulauan Riau","2010","P","825.1"
"21","Kepulauan Riau","2015","L","1007.9"
"21","Kepulauan Riau","2015","P","965.1"
"21","Kepulauan Riau","2020","L","1141.7"
"21","Kepulauan Riau","2020","P","1100.5"
"21","Kepulauan Riau","2025","L","1268"
"21","Kepulauan Riau","2025","P","1233.5"
"21","Kepulauan Riau","2030","L","1395.9"
"21","Kepulauan Riau","2030","P","1372.6"
"21","Kepulauan Riau","2035","L","1529.7"
"21","Kepulauan Riau","2035","P","1520.8"
"31","DKI Jakarta","2010","L","4879"
"31","DKI Jakarta","2010","P","4761.4"
"31","DKI Jakarta","2015","L","5115.3"
"31","DKI Jakarta","2015","P","5062.6"
"31","DKI Jakarta","2020","L","5324.8"
"31","DKI Jakarta","2020","P","5320.2"
"31","DKI Jakarta","2025","L","5504"
"31","DKI Jakarta","2025","P","5530"
"31","DKI Jakarta","2030","L","5629.6"
"31","DKI Jakarta","2030","P","5680.4"
"31","DKI Jakarta","2035","L","5690.2"
"31","DKI Jakarta","2035","P","5769.4"
"32","Jawa Barat","2010","L","21955.3"
"32","Jawa Barat","2010","P","21271.8"
"32","Jawa Barat","2015","L","23681"
"32","Jawa Barat","2015","P","23028.6"
"32","Jawa Barat","2020","L","25265.2"
"32","Jawa Barat","2020","P","24670.5"
"32","Jawa Barat","2025","L","26645.5"
"32","Jawa Barat","2025","P","26140.2"
"32","Jawa Barat","2030","L","27789.5"
"32","Jawa Barat","2030","P","27404.3"
"32","Jawa Barat","2035","L","28688.9"
"32","Jawa Barat","2035","P","28448.4"
"33","Jawa Tengah","2010","L","16091.6"
"33","Jawa Tengah","2010","P","16352.3"
"33","Jawa Tengah","2015","L","16750.9"
"33","Jawa Tengah","2015","P","17023.2"
