tahun,bulan,produksi,nilai_produksi,penjualan,nilai_penjualan
2013,1,,,83425760,277060000000
2013,2,,,80105042,262324000000
2013,3,,,86007071,279546000000
2013,4,,,84678802,297618000000
2013,5,,,85372603,298739000000
2013,6,,,82560605,290426000000
2013,7,,,85014894,312899000000
2013,8,,,73334894,281382000000
2013,9,,,77609803,316164000000
2013,10,,,84546015,342040000000
2013,11,,,84030216,339885000000
2013,12,,,76200607,262694000000
