kode_rekening,pos_anggaran,sumber_pos_anggaran,tahun,wilayah_kerja,nominal
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2015-12-31,Provinsi,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2015-12-31,Provinsi,0
9.1.01,Beban Operasi,Beban Pegawai,2015-12-31,Provinsi,704811931983
9.1.02,Beban Operasi,Beban Persediaan,2015-12-31,Provinsi,7698785448
9.1.03,Beban Operasi,Beban Barang,2015-12-31,Provinsi,3726008900
9.1.04,Beban Operasi,Beban Jasa,2015-12-31,Provinsi,560925647
9.1.05,Beban Operasi,Beban Pemeliharaan,2015-12-31,Provinsi,531659577
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2015-12-31,Provinsi,0
9.1.07,Beban Operasi,Beban Bunga,2015-12-31,Provinsi,0
9.1.08,Beban Operasi,Beban Subsidi,2015-12-31,Provinsi,0
9.1.13,Beban Operasi,Beban Hibah,2015-12-31,Provinsi,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2015-12-31,Provinsi,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2015-12-31,Provinsi,7931499333
9.1.11,Beban Operasi,Beban Penyisihan Piutang,2015-12-31,Provinsi,0
9.1.12,Beban Operasi,Beban Lain-lain,2015-12-31,Provinsi,0
9.2,Beban Transfer,Beban Transfer,2015-12-31,Provinsi,0
9.3,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2015-12-31,Provinsi,0
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2015-12-31,Provinsi,0
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2015-12-31,Jakarta Pusat,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2015-12-31,Jakarta Pusat,0
9.1.01,Beban Operasi,Beban Pegawai,2015-12-31,Jakarta Pusat,17372557500
9.1.02,Beban Operasi,Beban Persediaan,2015-12-31,Jakarta Pusat,3724566150
9.1.03,Beban Operasi,Beban Barang,2015-12-31,Jakarta Pusat,3405955640
9.1.04,Beban Operasi,Beban Jasa,2015-12-31,Jakarta Pusat,65100000
9.1.05,Beban Operasi,Beban Pemeliharaan,2015-12-31,Jakarta Pusat,0
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2015-12-31,Jakarta Pusat,0
9.1.07,Beban Operasi,Beban Bunga,2015-12-31,Jakarta Pusat,0
9.1.08,Beban Operasi,Beban Subsidi,2015-12-31,Jakarta Pusat,0
9.1.13,Beban Operasi,Beban Hibah,2015-12-31,Jakarta Pusat,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2015-12-31,Jakarta Pusat,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2015-12-31,Jakarta Pusat,2762273878
9.1.11,Beban Operasi,Beban Penyisihan Piutang,2015-12-31,Jakarta Pusat,0
9.1.12,Beban Operasi,Beban Lain-lain,2015-12-31,Jakarta Pusat,0
9.2,Beban Transfer,Beban Transfer,2015-12-31,Jakarta Pusat,0
9.3,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2015-12-31,Jakarta Pusat,0
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2015-12-31,Jakarta Pusat,0
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2015-12-31,Jakarta Utara,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2015-12-31,Jakarta Utara,0
9.1.01,Beban Operasi,Beban Pegawai,2015-12-31,Jakarta Utara,17940410000
9.1.02,Beban Operasi,Beban Persediaan,2015-12-31,Jakarta Utara,3249922480
9.1.03,Beban Operasi,Beban Barang,2015-12-31,Jakarta Utara,547250400
9.1.04,Beban Operasi,Beban Jasa,2015-12-31,Jakarta Utara,8575000
9.1.05,Beban Operasi,Beban Pemeliharaan,2015-12-31,Jakarta Utara,20669000
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2015-12-31,Jakarta Utara,0
9.1.07,Beban Operasi,Beban Bunga,2015-12-31,Jakarta Utara,0
9.1.08,Beban Operasi,Beban Subsidi,2015-12-31,Jakarta Utara,0
9.1.13,Beban Operasi,Beban Hibah,2015-12-31,Jakarta Utara,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2015-12-31,Jakarta Utara,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2015-12-31,Jakarta Utara,3392085403
9.1.11,Beban Operasi,Beban Penyisihan Piutang,2015-12-31,Jakarta Utara,0
9.1.12,Beban Operasi,Beban Lain-lain,2015-12-31,Jakarta Utara,0
9.2,Beban Transfer,Beban Transfer,2015-12-31,Jakarta Utara,0
9.3,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2015-12-31,Jakarta Utara,0
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2015-12-31,Jakarta Utara,0
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2015-12-31,Jakarta Barat,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2015-12-31,Jakarta Barat,0
9.1.01,Beban Operasi,Beban Pegawai,2015-12-31,Jakarta Barat,18400270000
9.1.02,Beban Operasi,Beban Persediaan,2015-12-31,Jakarta Barat,4296970559
9.1.03,Beban Operasi,Beban Barang,2015-12-31,Jakarta Barat,3299040000
9.1.04,Beban Operasi,Beban Jasa,2015-12-31,Jakarta Barat,10088980
9.1.05,Beban Operasi,Beban Pemeliharaan,2015-12-31,Jakarta Barat,43045750
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2015-12-31,Jakarta Barat,0
9.1.07,Beban Operasi,Beban Bunga,2015-12-31,Jakarta Barat,0
9.1.08,Beban Operasi,Beban Subsidi,2015-12-31,Jakarta Barat,0
9.1.13,Beban Operasi,Beban Hibah,2015-12-31,Jakarta Barat,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2015-12-31,Jakarta Barat,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2015-12-31,Jakarta Barat,2996480770
9.1.11,Beban Operasi,Beban Penyisihan Piutang,2015-12-31,Jakarta Barat,0
9.1.12,Beban Operasi,Beban Lain-lain,2015-12-31,Jakarta Barat,0
9.2,Beban Transfer,Beban Transfer,2015-12-31,Jakarta Barat,0
9.3,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2015-12-31,Jakarta Barat,0
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2015-12-31,Jakarta Barat,0
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2015-12-31,Jakarta Selatan,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2015-12-31,Jakarta Selatan,0
9.1.01,Beban Operasi,Beban Pegawai,2015-12-31,Jakarta Selatan,20660722500
9.1.02,Beban Operasi,Beban Persediaan,2015-12-31,Jakarta Selatan,4463140870
9.1.03,Beban Operasi,Beban Barang,2015-12-31,Jakarta Selatan,19516860
9.1.04,Beban Operasi,Beban Jasa,2015-12-31,Jakarta Selatan,4350984
9.1.05,Beban Operasi,Beban Pemeliharaan,2015-12-31,Jakarta Selatan,0
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2015-12-31,Jakarta Selatan,0
9.1.07,Beban Operasi,Beban Bunga,2015-12-31,Jakarta Selatan,0
9.1.08,Beban Operasi,Beban Subsidi,2015-12-31,Jakarta Selatan,0
9.1.13,Beban Operasi,Beban Hibah,2015-12-31,Jakarta Selatan,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2015-12-31,Jakarta Selatan,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2015-12-31,Jakarta Selatan,4124545173
9.1.11,Beban Operasi,Beban Penyisihan Piutang,2015-12-31,Jakarta Selatan,0
9.1.12,Beban Operasi,Beban Lain-lain,2015-12-31,Jakarta Selatan,0
9.2,Beban Transfer,Beban Transfer,2015-12-31,Jakarta Selatan,0
9.3,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2015-12-31,Jakarta Selatan,0
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2015-12-31,Jakarta Selatan,0
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2015-12-31,Jakarta Timur,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2015-12-31,Jakarta Timur,0
9.1.01,Beban Operasi,Beban Pegawai,2015-12-31,Jakarta Timur,22864455000
9.1.02,Beban Operasi,Beban Persediaan,2015-12-31,Jakarta Timur,4789299550
9.1.03,Beban Operasi,Beban Barang,2015-12-31,Jakarta Timur,1578562500
9.1.04,Beban Operasi,Beban Jasa,2015-12-31,Jakarta Timur,25421450
9.1.05,Beban Operasi,Beban Pemeliharaan,2015-12-31,Jakarta Timur,0
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2015-12-31,Jakarta Timur,0
9.1.07,Beban Operasi,Beban Bunga,2015-12-31,Jakarta Timur,0
9.1.08,Beban Operasi,Beban Subsidi,2015-12-31,Jakarta Timur,0
9.1.13,Beban Operasi,Beban Hibah,2015-12-31,Jakarta Timur,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2015-12-31,Jakarta Timur,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2015-12-31,Jakarta Timur,3621203757
9.1.11,Beban Operasi,Beban Penyisihan Piutang,2015-12-31,Jakarta Timur,0
9.1.12,Beban Operasi,Beban Lain-lain,2015-12-31,Jakarta Timur,0
9.2,Beban Transfer,Beban Transfer,2015-12-31,Jakarta Timur,0
9.3,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,2015-12-31,Jakarta Timur,0
9.4,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak terduga,2015-12-31,Jakarta Timur,0
8.1,Pendapatan - LO,Pendapatan Asli Daerah - LO,2015-12-31,Kep. Seribu,0
8.2,Pendapatan - LO,Dana Perimbangan - LO,2015-12-31,Kep. Seribu,0
9.1.01,Beban Operasi,Beban Pegawai,2015-12-31,Kep. Seribu,1234835000
9.1.02,Beban Operasi,Beban Persediaan,2015-12-31,Kep. Seribu,281485437
9.1.03,Beban Operasi,Beban Barang,2015-12-31,Kep. Seribu,88661600
9.1.04,Beban Operasi,Beban Jasa,2015-12-31,Kep. Seribu,120590433
9.1.05,Beban Operasi,Beban Pemeliharaan,2015-12-31,Kep. Seribu,102766895
9.1.06,Beban Operasi,Beban Perjalanan Dinas,2015-12-31,Kep. Seribu,0
9.1.07,Beban Operasi,Beban Bunga,2015-12-31,Kep. Seribu,0
9.1.08,Beban Operasi,Beban Subsidi,2015-12-31,Kep. Seribu,0
9.1.13,Beban Operasi,Beban Hibah,2015-12-31,Kep. Seribu,0
9.1.09,Beban Operasi,Beban Bantuan Sosial,2015-12-31,Kep. Seribu,0
9.1.10,Beban Operasi,Beban Penyusutan dan Amortisasi,2015-12-31,Kep. Seribu,1666940176
