pemakai,jumlah_uttp,alamat,kota,diuji_oleh,hasil_pengujian,tanggal_uji,masa_berlaku
SPBU 34-13901,12,Jl. Raya Bekasi Timur No. 29,Jakarta Timur,"Rizal Muchtar, SH., Penera Pelaksana Lanjutan",TUS,2016-08-19,2017-08-19
SPBU 34-13903,24,"Jl. Raya Penggilingan, Cakung",Jakarta Timur,"H. Andi Syafrudin, SE., MM., Penera Madya",TUS,2016-06-27,2017-06-27
SPBU 34-13906,27,Jl. Raya Cakung Cilincing,Jakarta Timur,"Moh. Kosasih, ST., Penera Madya",TUS,2016-09-15,2017-09-15
SPBU 34-13907,24,"Jl. Raya Sentra Primer, Pulo Gebang",Jakarta Timur,"Moh. Kosasih, ST., Penera Madya",TUS,2016-02-25,2017-02-25
SPBU 34-13908,32,Jl. Sri Sultan Hamengkubuwono IX Ujung Menteng,Jakarta Timur,"Moh. Kosasih, ST., Penera Madya",TUS,2016-09-13,2017-09-13
SPBU 34-13909,10,"Jl. DR. Radjiman Rt. 003/Rw. 07, Kel. Jatinegara, Kec. Cakung",Jakarta Timur,"Wim Pito Sinurat, ST., Penera Muda",TUS,2016-03-01,2017-03-01
SPBU 34-13910,30,Jl. Hamengkubuwono IX Km. 24,Jakarta Timur,"Moh. Tharekat, ST., Penera Madya",TUS,2016-09-15,2017-09-15
SPBU 34-14101,8,"Jl. Tipar Cakung No. 48, Sukapura",Jakarta Utara,"Nugroho, ST., Penera Madya",TS,2016-05-16,2017-05-16
SPBU 34-14105,14,Jl. Raya Cakung Cilincing,Jakarta Utara,"Misdar, ST., Penera Madya",TUS,2016-09-22,2017-09-22
SPBU 34-14106,16,Jl. Bidara Raya No. 5 Cilincing Marunda,Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-07-13,2017-07-13
SPBU 34-14108,15,"Jl. Surabaya, KBN Marunda",Jakarta Utara,"Misdar, ST., Penera Madya",TUS,2016-02-15,2017-02-15
SPBU 34-14109,16,Jl. Raya Cilincing No. 17,Jakarta Utara,"Us Us Suprianto, Penera Penyelia",TUS,2016-06-01,2017-06-01
SPBU 34-14201,78,Jl. Boulevard Barat Kelapa Gading,Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-02-03,2017-02-03
SPBU 34-14203,18,"Jl. Raya Cakung Cilincing, Budidarma",Jakarta Utara,"Misdar, ST., Penera Madya",TUS,2016-08-05,2017-08-05
SPBU 34-14204,22,Jl. Raya Yos Sudarso Kav. 84C,Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-03-11,2017-03-11
SPBU 34-14205,40,"Jl. Raya Boulevard Timur, Kelapa Gading Permai",Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-10-05,2017-10-05
SPBU 34-14207,12,"Jl. Raya Plumpang, Semper No. 45",Jakarta Utara,"Abdul Latief, ST.,  Penera Madya",TUS,2016-05-19,2017-05-19
SPBU 34-14208,32,Jl. Boulevard Artha Gading Kav. No. 3 Kelapa Gading,Jakarta Utara,"Nephy Supriyadi, Penera Penyelia",TUS,2016-09-02,2017-09-02
SPBU 34-14210,64,Jl. Sentra Artha Gading Kav. D No. 2 Kelapa Gading,Jakarta Utara,"Indra Gunawan Putra, ST.MM, Penera Pertama",TUS,2016-09-21,2017-09-21
SPBU 34-14301,1,"Jl. Danau Sunter Utara, Nirwana Sunter Asri",Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-06-28,2017-06-28
SPBU 34-14303       ,5,Jl. RE. Martadinata No.1,Jakarta Utara,"Subagyo, SE., MSi., Penera Madya",TUS,2016-01-21,2017-01-21
SPBU 34-14304,42,Jl. Tongkol No. 7,Jakarta Utara,"Daruseno Nugroho, Penera Penyelia",TUS,2016-06-14,2017-06-14
SPBU 34-14305,21,Jl. Sunter Kemayoran,Jakarta Utara,"Teguh Triprajogo, ST., MM., Penera Madya",TUS,2016-03-28,2017-03-28
SPBU 34-14306,15,Jl. Danau Sunter Selatan,Jakarta Utara,"Akhmadi, Penera Penyelia",TUS,2016-02-10,2017-02-10
SPBU 34-14307,38,Jl. Danau Sunter Selatan Blok O5/10,Jakarta Utara,"Rizal Muchtar, SH., Penera Pelaksana Lanjutan",TUS,2016-08-05,2017-08-05
SPBU 34-14308,22,Jl. Raya Enggano No. 14-16 Tanjung Priok,Jakarta Utara,"Nugroho, ST., Penera Madya",TUS,2016-03-01,2017-03-01
SPBU 34-14310,2,"Jl. Gaya Motor Raya No. 13, Sunter",Jakarta Utara,"Minsa Ika Dj. S., Penera Penyelia",TUS,2016-08-30,2017-08-30
SPBU 34-14401,56,"Jl. Pluit Raya Selatan, Penjaringan",Jakarta Utara,"Nephy Supriyadi, Penera Penyelia",TUS,2016-09-27,2017-09-27
SPBU 34-14402,4,Jl. Lodan Timur No. 7 Marina Ancol,Jakarta Utara,"Nephy Supriyadi, Penera Penyelia",TUS,2016-05-12,2017-05-12
SPBU 34-14403,33,"Jl. Pluit Raya Selatan, Penjaringan",Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-10-24,2017-10-24
SPBU 34-14404,17,Jl. Raya Kapuk Kamal,Jakarta Utara,"Misdar, ST., Penera Madya",TUS,2016-10-25,2017-10-25
SPBU 34-14405,8,Jl. Kampung Bandan 30-31,Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-03-16,2017-03-16
SPBU 34-14406,32,Jl. Dermaga Muara Angke,Jakarta Utara,"Subagyo, SE., MSi., Penera Madya",TUS,2016-04-22,2017-04-22
SPBU 34-14407,30,Jl. Jembatan Tiga Blok F 4-5 Penjaringan,Jakarta Utara,"Fany Abast, ST., Penera Muda",TUS,2016-06-02,2017-06-02
SPBU 34-14408,15,"Jl. Budi Mulya, Pademangan Barat",Jakarta Utara,"Abdul Latief, ST.,  Penera Madya",TUS,2016-06-01,2017-06-01
SPBU 34-14409,16,Jl. Kapuk Kamal Raya No. 33,Jakarta Utara,"Moh. Kosasih, ST., Penera Madya",TUS,2016-06-22,2017-06-22
SPBU 34-14410 KAPUK KAMAL,8,"JL. Kapuk Kamal RT 0001/RW 003, Kapuk Muara, Penjaringan",Jakarta Utara,"Wim Pito Sinurat, ST., Penera Muda",TUS,2015-11-20,2016-11-20
SPBU 34-14411,28,Jl. Kapuk Kamal Raya,Jakarta Utara,"Sunoto, ST., Penera Madya",TUS,2016-05-31,2017-05-31
SPBU 34-14412,4,"Jl. Tuna Raya Pelabuhan Perikanan, Samudera Muara Baru",Jakarta Utara,"Subagyo, SE., MSi., Penera Madya",TUS,2016-05-17,2017-05-17
