 Provinsi ; 1986 ; 1987 ; 1988 ; 1989 ; 1990 ; 1991 ; 1992 ; 1993 ; 1994 ; 1995 ; 1996 ; 1997 ; 1998 ; 1999 ; 2000 ; 2001 ; 2002 ; 2003 ; 2004 ; 2005 ; 2006 ; 2007 ; 2008 ; 2009 ; 2010 ; 2011 ; 2012 ; 2013 ; 2014 ; 2015 ; 2016 ; 2017 ; 2018 
 DI Yogyakarta ; 2,11 ; 1,95 ; 2,48 ; 2,24 ; 2,23 ; 2,05 ; 2,41 ; 2,25 ; 3,95 ; -   ; 4,07 ; 4,04 ; 3,72 ; 3,74 ; 3,45 ; 5,18 ; 5,21 ; 5,62 ; 6,26 ; 7,59 ; 6,31 ; 6,10 ; 5,38 ; 6,00 ; 5,69 ; 4,39 ; 3,90 ; 3,24 ; 3,33 ; 4,07 ; 2,72 ; 3,02 ; 3,35 
 Jawa Timur ; 1,85 ; 2,23 ; 2,25 ; 2,27 ; 2,17 ; 2,15 ; 2,29 ; 2,46 ; 3,26 ; -   ; 3,47 ; 3,31 ; 4,10 ; 4,95 ; 4,39 ; 6,51 ; 6,43 ; 8,79 ; 7,69 ; 8,51 ; 8,19 ; 6,79 ; 6,42 ; 5,08 ; 4,25 ; 5,38 ; 4,11 ; 4,30 ; 4,19 ; 4,47 ; 4,21 ; 4,00 ; 3,99 
 Banten ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12,32 ; 14,15 ; 14,18 ; 14,31 ; 16,59 ; 18,91 ; 15,75 ; 15,18 ; 14,97 ; 13,68 ; 13,74 ; 9,94 ; 9,54 ; 9,07 ; 9,55 ; 8,92 ; 9,28 ; 8,52 
 Bali ; 1,20 ; 1,07 ; 1,29 ; 1,42 ; 1,70 ; 1,56 ; 1,40 ; 1,37 ; 2,46 ; -   ; 2,66 ; 2,59 ; 3,09 ; 2,49 ; 2,96 ; 2,89 ; 4,52 ; 5,36 ; 4,66 ; 5,32 ; 6,04 ; 3,77 ; 3,31 ; 3,13 ; 3,06 ; 2,95 ; 2,10 ; 1,83 ; 1,90 ; 1,99 ; 1,89 ; 1,48 ; 1,37 
 Nusa Tenggara Barat ; 1,49 ; 0,92 ; 0,89 ; 0,75 ; 1,00 ; 0,56 ; 0,92 ; 0,83 ; 1,50 ; -   ; 2,60 ; 1,71 ; 3,14 ; 1,44 ; 4,30 ; 5,82 ; 6,94 ; 6,34 ; 7,48 ; 10,29 ; 8,90 ; 6,48 ; 6,13 ; 6,25 ; 5,29 ; 5,25 ; 5,23 ; 5,30 ; 5,75 ; 5,69 ; 3,94 ; 3,32 ; 3,72 
 Nusa Tengggara Timur ; 0,99 ; 0,80 ; 0,85 ; 0,88 ; 0,65 ; 0,82 ; 1,27 ; 1,19 ; 1,50 ; -   ; 2,18 ; 2,41 ; 2,64 ; 2,93 ; 2,46 ; 4,26 ; 4,35 ; 4,02 ; 4,48 ; 4,82 ; 3,65 ; 3,72 ; 3,73 ; 3,97 ; 3,34 ; 3,11 ; 3,04 ; 3,25 ; 3,26 ; 3,83 ; 3,25 ; 3,27 ; 3,01 
 Kalimantan Barat ; 1,52 ; 1,27 ; 1,67 ; 1,55 ; 1,50 ; 1,00 ; 1,23 ; 1,11 ; 2,34 ; -   ; 3,43 ; 3,61 ; 3,65 ; 2,02 ; 4,23 ; 4,84 ; 8,57 ; 6,53 ; 7,90 ; 8,13 ; 8,53 ; 6,47 ; 5,41 ; 5,44 ; 4,62 ; 4,60 ; 3,54 ; 3,99 ; 4,04 ; 5,15 ; 4,23 ; 4,36 ; 4,26 
 Kalimantan Tengah ; 1,17 ; 0,63 ; 1,53 ; 1,16 ; 1,64 ; 0,88 ; 1,31 ; 1,24 ; 4,40 ; -   ; 3,00 ; 3,98 ; 4,49 ; 3,67 ; 3,70 ; 6,14 ; 6,38 ; 7,59 ; 5,59 ; 4,91 ; 6,68 ; 5,11 ; 4,59 ; 4,62 ; 4,14 ; 3,54 ; 3,14 ; 3,00 ; 3,24 ; 4,54 ; 4,82 ; 4,23 ; 4,01 
 Kalimantan Selatan ; 1,99 ; 1,32 ; 1,29 ; 1,69 ; 1,60 ; 2,00 ; 2,35 ; 2,39 ; 2,96 ; -   ; 3,33 ; 2,84 ; 4,16 ; 2,37 ; 3,97 ; 5,91 ; 9,22 ; 7,67 ; 6,02 ; 7,34 ; 8,87 ; 7,62 ; 6,18 ; 6,36 ; 5,25 ; 6,29 ; 5,19 ; 3,66 ; 3,80 ; 4,92 ; 5,45 ; 4,77 ; 4,50 
 Kalimantan Timur ; 4,80 ; 3,87 ; 4,53 ; 3,11 ; 3,23 ; 3,53 ; 4,60 ; 3,98 ; 7,34 ; -   ; 7,60 ; 6,85 ; 8,45 ; 10,99 ; 8,88 ; 6,81 ; 11,76 ; 9,69 ; 10,39 ; 11,17 ; 13,43 ; 12,07 ; 11,11 ; 10,83 ; 10,10 ; 11,43 ; 9,02 ; 7,95 ; 7,38 ; 7,50 ; 7,95 ; 6,91 ; 6,60 
 Kalimantan Utara ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5,68 ; 5,23 ; 5,54 ; 5,22 
